Category1,Category2,KNOW직업명
기술·현장형,건설·채굴직,배관공
기술·현장형,건설·채굴직,공업배관공
기술·현장형,건설·채굴직,건설·채굴기계운전원
기술·현장형,건설·채굴직,광원·채석원 및 석재절단원
기술·현장형,건설·채굴직,철로설치·보수원
기술·현장형,건설·채굴직,점화·발파·화약관리원
기술·현장형,건설·채굴직,잠수기능원
기술·현장형,건설·채굴직,건설·채굴단순종사원
기술·현장형,기계 설치·정비·생산직,공업기계설치·정비원
기술·현장형,기계 설치·정비·생산직,승강기설치·정비원
기술·현장형,기계 설치·정비·생산직,물품이동장비설치·정비원
기술·현장형,기계 설치·정비·생산직,냉동·냉장·공조기설치·정비원
기술·현장형,기계 설치·정비·생산직,보일러설치·정비원
기술·현장형,기계 설치·정비·생산직,건설·광업기계설치·정비원
기술·현장형,기계 설치·정비·생산직,농업용 및 기타 기계장비설치·정비원
기술·현장형,기계 설치·정비·생산직,항공기정비원
기술·현장형,기계 설치·정비·생산직,헬리콥터정비원
기술·현장형,기계 설치·정비·생산직,선박정비원
기술·현장형,기계 설치·정비·생산직,철도기관차·전동차정비원
기술·현장형,기계 설치·정비·생산직,자동차정비원
기술·현장형,기계 설치·정비·생산직,오토바이정비원
기술·현장형,기계 설치·정비·생산직,자전거판매 및 수리원
기술·현장형,기계 설치·정비·생산직,금형원
기술·현장형,기계 설치·정비·생산직,금속공작기계조작원
기술·현장형,기계 설치·정비·생산직,냉·난방설비조작원
기술·현장형,기계 설치·정비·생산직,자동조립라인·산업용 로봇조작원
기술·현장형,기계 설치·정비·생산직,일반기계조립원
기술·현장형,기계 설치·정비·생산직,자동차조립원
기술·현장형,기계 설치·정비·생산직,자동차부품조립·검사원
기술·현장형,기계 설치·정비·생산직,선박조립원
기술·현장형,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),금속가공제어장치조작원
기술·현장형,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),금속가공기계조작원
기술·현장형,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),판금원 및 판금기조작원
기술·현장형,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),제관원 및 제관기조작원
기술·현장형,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),단조원 및 단조기조작원
기술·현장형,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),주조원 및 주조기조작원
기술·현장형,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),용접원 및 용접기조작원
기술·현장형,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),도장원(도장기조작원)
기술·현장형,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),도금·금속분무기조작원
